,chr,subpop,clus.id,start,end,peak,width
42,01K,all,01K_all_42,25845186,25845877,25845877,691
43,01K,all,01K_all_43,25846448,25846707,25846514,259
44,01K,all,01K_all_44,25848488,25856046,25848678,7558
45,01K,all,01K_all_45,25858133,25858392,25858133,259
46,01K,all,01K_all_46,25859674,25859719,25859719,45
47,01K,all,01K_all_47,25865107,25867579,25867368,2472
48,01K,all,01K_all_48,25868494,25870369,25869760,1875
49,01K,all,01K_all_49,25871249,25873074,25872012,1825
50,01K,all,01K_all_50,25874773,25875651,25875225,878
51,01K,all,01K_all_51,25876646,25876841,25876841,195
52,01K,all,01K_all_52,25885171,25890557,25886944,5386
53,01K,all,01K_all_53,25892412,25893421,25892475,1009
54,01K,all,01K_all_54,25895572,25898963,25898963,3391
55,01K,all,01K_all_55,25901253,25907549,25907158,6296
56,01K,all,01K_all_56,25909426,25910142,25909426,716
57,01K,all,01K_all_57,25929771,25930907,25930445,1136
58,01K,all,01K_all_58,25933790,25936229,25936194,2439
59,01K,all,01K_all_59,25938210,25939050,25939050,840
60,01K,all,01K_all_60,25940209,25940902,25940902,693
61,01K,all,01K_all_61,25956275,25956715,25956275,440
62,01K,all,01K_all_62,25959679,25960099,25960099,420
63,01K,all,01K_all_63,25961345,25964014,25961812,2669
64,01K,all,01K_all_64,25976778,25978796,25978796,2018
65,01K,all,01K_all_65,25988912,25991171,25990192,2259
66,01K,all,01K_all_66,25992627,25992902,25992627,275
67,01K,all,01K_all_67,26011364,26011727,26011364,363
68,01K,all,01K_all_68,26014998,26016021,26015665,1023
69,01K,all,01K_all_69,26042722,26042834,26042722,112
70,01K,all,01K_all_70,26087999,26090696,26090696,2697
71,01K,all,01K_all_71,26094956,26095612,26094956,656
72,01K,all,01K_all_72,26097200,26099209,26097200,2009
73,01K,all,01K_all_73,26160804,26160866,26160866,62
74,01K,all,01K_all_74,26185898,26188062,26188062,2164
75,01K,all,01K_all_75,26191439,26191918,26191439,479
76,01K,all,01K_all_76,26192846,26193178,26193100,332
77,01K,all,01K_all_77,26234690,26235124,26235124,434
78,01K,all,01K_all_78,26237336,26238399,26238399,1063
79,01K,all,01K_all_79,26241433,26243103,26243103,1670
80,01K,all,01K_all_80,26249200,26251975,26250321,2775
81,01K,all,01K_all_81,26253231,26253482,26253482,251
82,01K,all,01K_all_82,26256077,26258976,26256767,2899
83,01K,all,01K_all_83,26260125,26260768,26260125,643
84,01K,all,01K_all_84,26271005,26271030,26271030,25
85,01K,all,01K_all_85,26281749,26282773,26281795,1024
86,01K,all,01K_all_86,26283837,26284264,26284264,427
87,01K,all,01K_all_87,26304700,26315161,26314632,10461
88,01K,all,01K_all_88,26318823,26318951,26318823,128
89,01K,all,01K_all_89,26320408,26321263,26321263,855
90,01K,all,01K_all_90,26323481,26324758,26323931,1277
91,01K,all,01K_all_91,26328422,26328486,26328486,64
92,01K,all,01K_all_92,26330818,26333634,26331789,2816
93,01K,all,01K_all_93,26335166,26336749,26335166,1583
94,01K,all,01K_all_94,26344268,26355068,26347197,10800
95,01K,all,01K_all_95,26358947,26359174,26358947,227
96,01K,all,01K_all_96,26363836,26365660,26363836,1824
97,01K,all,01K_all_97,26371333,26373039,26373039,1706
98,01K,all,01K_all_98,26375237,26387562,26375237,12325
99,01K,all,01K_all_99,26391529,26393976,26392792,2447
100,01K,all,01K_all_100,26395758,26396885,26395796,1127
101,01K,all,01K_all_101,26403564,26406880,26405726,3316
102,01K,all,01K_all_102,26410044,26414298,26412187,4254
103,01K,all,01K_all_103,26416320,26418435,26417812,2115
104,01K,all,01K_all_104,26422609,26424892,26424002,2283
105,01K,all,01K_all_105,26427494,26431778,26430933,4284
106,01K,all,01K_all_106,26435811,26438074,26437851,2263
107,01K,all,01K_all_107,26438938,26441370,26440870,2432
108,01K,all,01K_all_108,26442567,26443167,26442809,600
109,01K,all,01K_all_109,26444485,26448671,26448084,4186
110,01K,all,01K_all_110,26467495,26471346,26469782,3851
111,01K,all,01K_all_111,26473034,26485748,26479618,12714
112,01K,all,01K_all_112,26494767,26495778,26495778,1011
113,01K,all,01K_all_113,26497327,26500236,26497761,2909
114,01K,all,01K_all_114,26501281,26502905,26502168,1624
115,01K,all,01K_all_115,26505086,26508389,26505086,3303
116,01K,all,01K_all_116,26530436,26530967,26530967,531
117,01K,all,01K_all_117,26533560,26535368,26535187,1808
118,01K,all,01K_all_118,26573064,26573752,26573064,688
119,01K,all,01K_all_119,26582495,26588709,26586324,6214
120,01K,all,01K_all_120,26591361,26592976,26592976,1615
121,01K,all,01K_all_121,33388870,33389116,33388932,246
122,01K,all,01K_all_122,34924873,34928406,34924873,3533
123,01K,all,01K_all_123,37264519,37273096,37264530,8577
124,01K,all,01K_all_124,38130922,38132557,38130922,1635
125,01K,all,01K_all_125,42099219,42099526,42099311,307
126,01K,all,01K_all_126,44748980,44749473,44749473,493
127,01K,all,01K_all_127,44755977,44756517,44755977,540
128,01K,all,01K_all_128,44780101,44780487,44780101,386
129,01K,all,01K_all_129,45166268,45166549,45166409,281
130,01K,all,01K_all_130,45389786,45390711,45389786,925
131,01K,all,01K_all_131,45393271,45393327,45393327,56
132,01K,all,01K_all_132,51336038,51336635,51336635,597
133,01K,all,01K_all_133,51337434,51337615,51337434,181
134,01K,all,01K_all_134,51339322,51339981,51339567,659
135,01K,all,01K_all_135,51592778,51592779,51592778,1
136,01K,all,01K_all_136,51636419,51637678,51636419,1259
137,01K,all,01K_all_137,51642902,51644469,51644469,1567
138,01K,all,01K_all_138,51719675,51720060,51720060,385
139,01K,all,01K_all_139,51728407,51740737,51731219,12330
140,01K,all,01K_all_140,51795964,51797446,51795964,1482
141,01K,all,01K_all_141,52401850,52402741,52402741,891
142,01K,all,01K_all_142,52915764,52916358,52915764,594
143,01K,all,01K_all_143,53242746,53243402,53242746,656
144,01K,all,01K_all_144,54030222,54030801,54030222,579
145,01K,all,01K_all_145,54556986,54559391,54559391,2405
146,01N,all,01N_all_1,1059639,1059705,1059705,66
147,01N,all,01N_all_2,1072998,1073397,1072998,399
148,01N,all,01N_all_3,3099909,3099916,3099909,7
149,01N,all,01N_all_4,12534178,12534192,12534178,14
150,01N,all,01N_all_5,13387412,13391364,13391364,3952
151,01N,all,01N_all_6,13394208,13395070,13394979,862
152,01N,all,01N_all_7,13396840,13399568,13399568,2728
153,01N,all,01N_all_8,13400857,13402821,13401591,1964
154,01N,all,01N_all_9,13845944,13851033,13847247,5089
155,01N,all,01N_all_10,15099054,15099069,15099069,15
156,01N,all,01N_all_11,22024286,22031892,22024286,7606
157,01N,all,01N_all_12,22038537,22040590,22038537,2053
158,01N,all,01N_all_13,22238839,22257558,22256037,18719
159,01N,all,01N_all_14,22336600,22339187,22339187,2587
160,01N,all,01N_all_15,22773466,22800016,22797828,26550
161,01N,all,01N_all_16,22810859,22810910,22810859,51
162,01N,all,01N_all_17,22834271,22840674,22839225,6403
163,01N,all,01N_all_18,22842378,22845335,22845325,2957
164,01N,all,01N_all_19,22846116,22847935,22847888,1819
165,01N,all,01N_all_20,23002555,23002806,23002806,251
166,01N,all,01N_all_21,23160854,23163725,23163725,2871
167,01N,all,01N_all_22,23170202,23170282,23170202,80
168,01N,all,01N_all_23,23196221,23211530,23211530,15309
169,01N,all,01N_all_24,23363001,23363180,23363180,179
170,01N,all,01N_all_25,23377129,23377171,23377171,42
171,01N,all,01N_all_26,23409744,23413396,23412976,3652
172,01N,all,01N_all_27,23479393,23480943,23480943,1550
173,01N,all,01N_all_28,23483054,23484153,23483054,1099
174,01N,all,01N_all_29,23487395,23487750,23487750,355
175,01N,all,01N_all_30,23490136,23494647,23494451,4511
176,01N,all,01N_all_31,23496493,23497340,23496759,847
177,01N,all,01N_all_32,23510509,23525961,23513809,15452
178,01N,all,01N_all_33,23527520,23532870,23531650,5350
179,01N,all,01N_all_34,23538783,23539289,23538783,506
180,01N,all,01N_all_35,23540325,23567909,23556269,27584
181,01N,all,01N_all_36,23992432,23995408,23993545,2976
182,01N,all,01N_all_37,24149212,24149762,24149620,550
183,01N,all,01N_all_38,24592347,24598439,24594825,6092
184,01N,all,01N_all_39,24600118,24607919,24601359,7801
185,01N,all,01N_all_40,24620532,24648366,24620603,27834
186,01N,all,01N_all_41,24651075,24689368,24659871,38293
187,01N,all,01N_all_42,24690638,24715548,24707432,24910
188,01N,all,01N_all_43,24740418,24762620,24762192,22202
189,01N,all,01N_all_44,24869862,24870592,24870103,730
190,01N,all,01N_all_45,24875941,24880255,24875941,4314
191,01N,all,01N_all_46,25076699,25076868,25076868,169
192,01N,all,01N_all_47,25109187,25109448,25109187,261
193,01N,all,01N_all_48,25286279,25286877,25286279,598
194,01N,all,01N_all_49,25368915,25371326,25368962,2411
195,01N,all,01N_all_50,25485467,25492373,25492372,6906
196,01N,all,01N_all_51,25493122,25493572,25493149,450
197,01N,all,01N_all_52,25509938,25519414,25517606,9476
198,01N,all,01N_all_53,25533662,25552653,25544257,18991
199,01N,all,01N_all_54,25574166,25606893,25604879,32727
200,01N,all,01N_all_55,25674228,25683460,25681343,9232
201,01N,all,01N_all_56,25707817,25727752,25721658,19935
202,01N,all,01N_all_57,25728756,25728852,25728852,96
203,01N,all,01N_all_58,25731435,25760099,25731435,28664
204,01N,all,01N_all_59,25761121,25763707,25761533,2586
205,01N,all,01N_all_60,25766554,25771967,25768019,5413
206,01N,all,01N_all_61,25786101,25816722,25809208,30621
207,01N,all,01N_all_62,25818953,25821430,25819693,2477
208,01N,all,01N_all_63,25831156,25867129,25852384,35973
209,01N,all,01N_all_64,25875441,25883354,25878323,7913
210,01N,all,01N_all_65,25890523,25891420,25890930,897
211,01N,all,01N_all_66,25894134,25900411,25899624,6277
212,01N,all,01N_all_67,25922326,25925284,25924668,2958
213,01N,all,01N_all_68,25926773,25926861,25926773,88
214,01N,all,01N_all_69,25927596,25929113,25928422,1517
215,01N,all,01N_all_70,25930307,25936046,25931324,5739
216,01N,all,01N_all_71,25937150,25950338,25938985,13188
217,01N,all,01N_all_72,25953051,25956696,25953637,3645
218,01N,all,01N_all_73,25973152,25979599,25974320,6447
219,01N,all,01N_all_74,25980990,25987425,25986579,6435
220,01N,all,01N_all_75,25990677,25991865,25991865,1188
221,01N,all,01N_all_76,25992860,25996510,25996225,3650
222,01N,all,01N_all_77,25997770,26027672,26020574,29902
223,01N,all,01N_all_78,26029809,26031587,26029823,1778
224,01N,all,01N_all_79,26034332,26066771,26038154,32439
225,01N,all,01N_all_80,26071993,26086838,26084641,14845
226,01N,all,01N_all_81,26091044,26097375,26095647,6331
227,01N,all,01N_all_82,26098094,26131965,26098399,33871
228,01N,all,01N_all_83,26132995,26134018,26134018,1023
229,01N,all,01N_all_84,26247201,26257165,26254087,9964
230,01N,all,01N_all_85,26264954,26286112,26283906,21158
231,01N,all,01N_all_86,26371712,26372183,26372067,471
232,01N,all,01N_all_87,26373252,26414839,26413911,41587
233,01N,all,01N_all_88,26416794,26417475,26417475,681
234,01N,all,01N_all_89,26447967,26467821,26467821,19854
235,01N,all,01N_all_90,26524659,26533465,26532020,8806
236,01N,all,01N_all_91,26721437,26721700,26721700,263
237,01N,all,01N_all_92,26768223,26779304,26771841,11081
238,01N,all,01N_all_93,27016411,27101383,27062748,84972
239,01N,all,01N_all_94,27102180,27103632,27102822,1452
240,01N,all,01N_all_95,27164899,27170108,27168846,5209
241,01N,all,01N_all_96,27200580,27202862,27201467,2282
242,01N,all,01N_all_97,27357553,27363192,27363192,5639
243,01N,all,01N_all_98,27555700,27556289,27555700,589
244,01N,all,01N_all_99,27614993,27629093,27628748,14100
245,01N,all,01N_all_100,27632001,27666744,27655216,34743
246,01N,all,01N_all_101,27667939,27698467,27696182,30528
247,01N,all,01N_all_102,27699209,27746907,27745024,47698
248,01N,all,01N_all_103,27749221,27757629,27751327,8408
249,01N,all,01N_all_104,27764074,27799849,27767080,35775
250,01N,all,01N_all_105,27800716,27885833,27882397,85117
251,01N,all,01N_all_106,27901349,27921402,27919185,20053
252,01N,all,01N_all_107,27960438,27962075,27960449,1637
253,01N,all,01N_all_108,27964148,27980074,27972583,15926
254,01N,all,01N_all_109,27984269,27984279,27984279,10
255,01N,all,01N_all_110,27986092,27986967,27986092,875
256,01N,all,01N_all_111,27988785,27990765,27990765,1980
257,01N,all,01N_all_112,27992579,27992787,27992787,208
258,01N,all,01N_all_113,27994531,27995422,27994531,891
259,01N,all,01N_all_114,27996568,28000071,28000071,3503
260,01N,all,01N_all_115,28001837,28003701,28002079,1864
261,01N,all,01N_all_116,28018963,28020107,28020107,1144
262,01N,all,01N_all_117,28021406,28021746,28021406,340
263,01N,all,01N_all_118,28054539,28055376,28055376,837
264,01N,all,01N_all_119,28115184,28116226,28115953,1042
265,01N,all,01N_all_120,28138265,28138525,28138525,260
266,01N,all,01N_all_121,28153913,28161155,28161155,7242
267,01N,all,01N_all_122,28207888,28210118,28209595,2230
268,01N,all,01N_all_123,28221658,28222485,28222485,827
269,01N,all,01N_all_124,28224135,28224784,28224250,649
270,01N,all,01N_all_125,28225689,28226243,28225689,554
271,01N,all,01N_all_126,28227033,28227326,28227033,293
272,01N,all,01N_all_127,28228077,28228639,28228639,562
273,01N,all,01N_all_128,28230628,28233720,28230628,3092
274,01N,all,01N_all_129,28238916,28239278,28238916,362
275,01N,all,01N_all_130,28242147,28242339,28242147,192
276,01N,all,01N_all_131,28263766,28267540,28264984,3774
277,01N,all,01N_all_132,28277376,28280962,28280165,3586
278,01N,all,01N_all_133,28282313,28282799,28282313,486
279,01N,all,01N_all_134,28284535,28294050,28294050,9515
280,01N,all,01N_all_135,28295469,28296198,28295469,729
281,01N,all,01N_all_136,28297648,28298701,28297649,1053
282,01N,all,01N_all_137,28299670,28300956,28300956,1286
283,01N,all,01N_all_138,28302931,28303260,28303260,329
284,01N,all,01N_all_139,28307351,28320585,28311183,13234
285,01N,all,01N_all_140,28343373,28343540,28343540,167
286,01N,all,01N_all_141,28359478,28359516,28359516,38
287,01N,all,01N_all_142,28360251,28360691,28360251,440
288,01N,all,01N_all_143,28363418,28365008,28365008,1590
289,01N,all,01N_all_144,28365929,28369016,28366064,3087
290,01N,all,01N_all_145,28382004,28385160,28385160,3156
291,01N,all,01N_all_146,28388663,28392278,28390968,3615
292,01N,all,01N_all_147,28404940,28405954,28405954,1014
293,01N,all,01N_all_148,28408189,28412446,28412446,4257
294,01N,all,01N_all_149,28415272,28422251,28422251,6979
295,01N,all,01N_all_150,28425934,28426183,28426183,249
296,01N,all,01N_all_151,28435992,28438264,28435992,2272
297,01N,all,01N_all_152,28439815,28446071,28440200,6256
298,01N,all,01N_all_153,28448029,28448101,28448029,72
299,01N,all,01N_all_154,28449449,28449470,28449449,21
300,01N,all,01N_all_155,28477983,28478773,28478219,790
301,01N,all,01N_all_156,28479900,28480269,28480269,369
302,01N,all,01N_all_157,28482539,28485226,28484932,2687
303,01N,all,01N_all_158,28487957,28491073,28488208,3116
304,01N,all,01N_all_159,28492107,28495349,28493031,3242
305,01N,all,01N_all_160,28527047,28537446,28537446,10399
306,01N,all,01N_all_161,28552758,28554399,28552758,1641
307,01N,all,01N_all_162,28565059,28567122,28565834,2063
308,01N,all,01N_all_163,28575197,28578158,28578158,2961
309,01N,all,01N_all_164,28579580,28580073,28579580,493
310,01N,all,01N_all_165,28582726,28584587,28584521,1861
311,01N,all,01N_all_166,28587735,28588611,28588611,876
312,01N,all,01N_all_167,28590730,28591201,28590730,471
313,01N,all,01N_all_168,28592169,28592364,28592202,195
314,01N,all,01N_all_169,28595303,28595788,28595303,485
315,01N,all,01N_all_170,28597507,28597897,28597507,390
316,01N,all,01N_all_171,28611647,28613001,28611647,1354
317,01N,all,01N_all_172,28613793,28614263,28613940,470
318,01N,all,01N_all_173,28618069,28618625,28618069,556
319,01N,all,01N_all_174,28626709,28627335,28626709,626
320,01N,all,01N_all_175,28630223,28630233,28630223,10
321,01N,all,01N_all_176,28634596,28635561,28635515,965
322,01N,all,01N_all_177,28645843,28646399,28645843,556
323,01N,all,01N_all_178,28647757,28648418,28648418,661
324,01N,all,01N_all_179,28655539,28659500,28659374,3961
325,01N,all,01N_all_180,28660340,28660367,28660367,27
326,01N,all,01N_all_181,28663560,28676637,28676637,13077
327,01N,all,01N_all_182,28678301,28678408,28678408,107
328,01N,all,01N_all_183,28682015,28682903,28682903,888
329,01N,all,01N_all_184,28684521,28686645,28684521,2124
330,01N,all,01N_all_185,28688347,28700017,28700017,11670
331,01N,all,01N_all_186,28703709,28704913,28704123,1204
332,01N,all,01N_all_187,28708174,28714508,28714508,6334
333,01N,all,01N_all_188,28716376,28717369,28716697,993
334,01N,all,01N_all_189,28723984,28724192,28724192,208
335,01N,all,01N_all_190,28725609,28726904,28725917,1295
336,01N,all,01N_all_191,28729477,28739843,28730078,10366
337,01N,all,01N_all_192,28742950,28743848,28743848,898
338,01N,all,01N_all_193,28747938,28760976,28757908,13038
339,01N,all,01N_all_194,28772299,28782430,28782430,10131
340,01N,all,01N_all_195,28783590,28785577,28784390,1987
341,01N,all,01N_all_196,28786590,28787178,28786820,588
342,01N,all,01N_all_197,28802748,28804344,28802748,1596
343,01N,all,01N_all_198,28862257,28863826,28863344,1569
344,01N,all,01N_all_199,29111332,29113360,29111332,2028
345,01N,all,01N_all_200,29136545,29137125,29137125,580
346,01N,all,01N_all_201,29154636,29155062,29155062,426
347,01N,all,01N_all_202,29174487,29175188,29174487,701
348,01N,all,01N_all_203,30486439,30486895,30486859,456
349,01N,all,01N_all_204,30519851,30519982,30519851,131
350,01N,all,01N_all_205,30649771,30650244,30650244,473
351,01N,all,01N_all_206,31078888,31080093,31079165,1205
352,01N,all,01N_all_207,31296033,31300821,31299602,4788
353,01N,all,01N_all_208,31309738,31313956,31310711,4218
354,01N,all,01N_all_209,31327031,31334462,31329845,7431
355,01N,all,01N_all_210,31337846,31393967,31385316,56121
356,01N,all,01N_all_211,31394496,31401429,31401429,6933
357,01N,all,01N_all_212,31403978,31416170,31412110,12192
358,01N,all,01N_all_213,31417607,31433928,31418325,16321
359,01N,all,01N_all_214,31435168,31438284,31437183,3116
360,01N,all,01N_all_215,31459794,31477642,31470212,17848
361,01N,all,01N_all_216,31479203,31481469,31481469,2266
362,01N,all,01N_all_217,31483276,31491255,31490562,7979
363,01N,all,01N_all_218,31492439,31518140,31492456,25701
364,01N,all,01N_all_219,31571805,31571858,31571858,53
365,01N,all,01N_all_220,31594402,31623103,31616698,28701
366,01N,all,01N_all_221,31625150,31628980,31628980,3830
367,01N,all,01N_all_222,31630674,31632812,31632676,2138
368,01N,all,01N_all_223,31644551,31662520,31650843,17969
369,01N,all,01N_all_224,31663541,31671608,31663644,8067
370,01N,all,01N_all_225,31697586,31744966,31733509,47380
371,01N,all,01N_all_226,31745867,31747020,31746470,1153
372,01N,all,01N_all_227,31748045,31769568,31748494,21523
373,01N,all,01N_all_228,31798170,31874480,31846132,76310
374,01N,all,01N_all_229,31876403,31878047,31876856,1644
375,01N,all,01N_all_230,31886528,31899525,31890034,12997
376,01N,all,01N_all_231,31914183,31920955,31919064,6772
377,01N,all,01N_all_232,31986580,31990183,31989018,3603
378,01N,all,01N_all_233,32011276,32042043,32012748,30767
379,01N,all,01N_all_234,32059374,32063754,32059374,4380
380,01N,all,01N_all_235,32071538,32074740,32071902,3202
381,01N,all,01N_all_236,32075500,32080634,32076634,5134
382,01N,all,01N_all_237,32094859,32096172,32096172,1313
383,01N,all,01N_all_238,32096860,32104234,32103115,7374
384,01N,all,01N_all_239,32123312,32130125,32127591,6813
385,01N,all,01N_all_240,32135541,32136193,32136193,652
386,01N,all,01N_all_241,32159788,32203994,32165933,44206
387,01N,all,01N_all_242,32231078,32234100,32231379,3022
388,01N,all,01N_all_243,32254244,32270889,32270215,16645
389,01N,all,01N_all_244,32272101,32317817,32293224,45716
390,01N,all,01N_all_245,32330743,32381700,32381563,50957
391,01N,all,01N_all_246,32406620,32445251,32411673,38631
392,01N,all,01N_all_247,32447642,32448050,32448050,408
393,01N,all,01N_all_248,32450898,32455591,32452612,4693
394,01N,all,01N_all_249,32460819,32499207,32462991,38388
395,01N,all,01N_all_250,32524394,32525218,32524543,824
396,01N,all,01N_all_251,32586395,32587825,32587825,1430
397,01N,all,01N_all_252,32678188,32682656,32681182,4468
398,01N,all,01N_all_253,32695351,32696425,32696425,1074
399,01N,all,01N_all_254,32768392,32768478,32768478,86
400,01N,all,01N_all_255,32815462,32834974,32815479,19512
401,01N,all,01N_all_256,32836912,32837348,32836912,436
402,01N,all,01N_all_257,32840851,32841639,32840851,788
403,01N,all,01N_all_258,32843775,32844924,32844924,1149
404,01N,all,01N_all_259,32849280,32849631,32849280,351
405,01N,all,01N_all_260,32863429,32864665,32864665,1236
406,01N,all,01N_all_261,32866785,32867210,32866785,425
407,01N,all,01N_all_262,32870363,32872223,32871089,1860
408,01N,all,01N_all_263,32875177,32881729,32875385,6552
409,01N,all,01N_all_264,32944916,32947207,32945626,2291
410,01N,all,01N_all_265,32950722,32952041,32950722,1319
411,01N,all,01N_all_266,32953431,32954882,32954816,1451
412,01N,all,01N_all_267,32976223,32976695,32976257,472
413,01N,all,01N_all_268,32978277,32979752,32978848,1475
414,01N,all,01N_all_269,32984275,32994491,32994491,10216
415,01N,all,01N_all_270,33008591,33011502,33008591,2911
416,01N,all,01N_all_271,33016721,33019098,33016721,2377
417,01N,all,01N_all_272,33020568,33033090,33033090,12522
418,01N,all,01N_all_273,33038704,33040215,33040135,1511
419,01N,all,01N_all_274,33044331,33049388,33048474,5057
420,01N,all,01N_all_275,33050132,33051875,33051535,1743
421,01N,all,01N_all_276,33052644,33058078,33053342,5434
422,01N,all,01N_all_277,33299774,33300843,33299774,1069
423,01N,all,01N_all_278,33317187,33318138,33317187,951
424,01N,all,01N_all_279,33532552,33541846,33541567,9294
425,01N,all,01N_all_280,33544715,33545588,33544715,873
426,01N,all,01N_all_281,33547859,33548552,33547859,693
427,01N,all,01N_all_282,33550087,33552396,33552396,2309
428,01N,all,01N_all_283,33553924,33554880,33554880,956
429,01N,all,01N_all_284,33559921,33561101,33560282,1180
430,01N,all,01N_all_285,33563984,33564229,33563984,245
431,01N,all,01N_all_286,33592835,33593062,33593062,227
432,01N,all,01N_all_287,33593998,33596112,33593998,2114
433,01N,all,01N_all_288,33599895,33603896,33600868,4001
434,01N,all,01N_all_289,33605425,33607871,33607412,2446
435,01N,all,01N_all_290,33608794,33609757,33609103,963
436,01N,all,01N_all_291,33654848,33657252,33656006,2404
437,01N,all,01N_all_292,33685107,33686961,33686961,1854
438,01N,all,01N_all_293,33687800,33689184,33687831,1384
439,01N,all,01N_all_294,33690882,33690925,33690882,43
440,01N,all,01N_all_295,33691603,33692833,33692833,1230
441,01N,all,01N_all_296,33696685,33697142,33696685,457
442,01N,all,01N_all_297,33700311,33702883,33700311,2572
443,01N,all,01N_all_298,33704266,33704509,33704266,243
444,01N,all,01N_all_299,33706310,33706940,33706310,630
445,01N,all,01N_all_300,33730401,33730971,33730620,570
446,01N,all,01N_all_301,33731778,33733146,33732069,1368
447,01N,all,01N_all_302,33733993,33734239,33734239,246
448,01N,all,01N_all_303,33757848,33758282,33758282,434
449,01N,all,01N_all_304,33763837,33764940,33764940,1103
450,01N,all,01N_all_305,33766082,33766101,33766101,19
451,01N,all,01N_all_306,33780353,33780670,33780353,317
452,01N,all,01N_all_307,33801077,33801900,33801900,823
453,01N,all,01N_all_308,33802648,33803158,33803158,510
454,01N,all,01N_all_309,33804489,33805686,33804707,1197
455,01N,all,01N_all_310,33809323,33810569,33809365,1246
456,01N,all,01N_all_311,33812192,33813173,33813173,981
457,01N,all,01N_all_312,33814784,33816325,33814784,1541
458,01N,all,01N_all_313,33866250,33866357,33866250,107
459,01N,all,01N_all_314,34833959,34833989,34833989,30
460,01N,all,01N_all_315,34836761,34839391,34837370,2630
461,01N,all,01N_all_316,34876466,34915074,34908379,38608
462,01N,all,01N_all_317,34917537,34917942,34917942,405
463,01N,all,01N_all_318,35954684,35955479,35954684,795
464,01N,all,01N_all_319,41799588,41800347,41799588,759
465,01N,all,01N_all_320,42987440,42993707,42993606,6267
466,01N,all,01N_all_321,43060073,43060836,43060836,763
467,01N,all,01N_all_322,45348007,45348536,45348048,529
468,01N,all,01N_all_323,47483384,47485361,47484961,1977
469,01N,all,01N_all_324,47487564,47487822,47487564,258
470,01N,all,01N_all_325,47488995,47489137,47488995,142
471,01N,all,01N_all_326,47493522,47493572,47493526,50
472,01N,all,01N_all_327,47860170,47861086,47860170,916
473,01N,all,01N_all_328,47893752,47894212,47894212,460
474,01N,all,01N_all_329,47896220,47897553,47897553,1333
475,01N,all,01N_all_330,49792128,49792251,49792251,123
476,01N,all,01N_all_331,50028300,50028423,50028300,123
477,01N,all,01N_all_332,51117057,51117078,51117057,21
478,01N,all,01N_all_333,51620367,51620395,51620367,28
479,01N,all,01N_all_334,52858528,52860029,52860029,1501
480,01N,all,01N_all_335,52877726,52878154,52877726,428
481,01N,all,01N_all_336,52904077,52904244,52904077,167
482,01N,all,01N_all_337,52906754,52906761,52906761,7
483,01N,all,01N_all_338,52924518,52925313,52925301,795
484,01N,all,01N_all_339,52926965,52930519,52928214,3554
485,01N,all,01N_all_340,52931936,52936973,52932996,5037
486,01N,all,01N_all_341,52940818,52940826,52940826,8
487,01N,all,01N_all_342,52956079,52956162,52956162,83
488,01N,all,01N_all_343,55089337,55089803,55089391,466
